timestamp,username,ip,workstation,vt_malicious_count
2025-04-20 12:43:27,atman,127.0.0.1,DESKTOP-6MBONC4,0
2025-04-20 15:00:18,atman,127.0.0.1,DESKTOP-6MBONC4,0
2025-05-01 11:43:52,atman,127.0.0.1,windows-10.matrixlab.net,0
2025-05-01 11:47:31,atman,127.0.0.1,windows-10.matrixlab.net,0
2025-05-05 09:56:06,atman,::1,windows-10.matrixlab.net,0
2025-05-05 09:56:07,atman,::1,windows-10.matrixlab.net,0
2025-05-05 09:56:33,atman,::1,windows-10.matrixlab.net,0
2025-05-05 09:57:06,atman,::1,windows-10.matrixlab.net,0
2025-05-05 10:56:01,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:01,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:01,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:01,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:01,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:01,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:02,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:02,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:02,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:02,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:02,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:02,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:03,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:03,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:03,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
2025-05-05 10:56:03,vhenderson,192.168.0.194,windows-10.matrixlab.net,0
